File,Speaker,Text,ExtractedQuestions,QuestionCode
After Dec11-2019 - t99 t107.xlsx,S2, Oh what?,oh what,C
After Dec11-2019 - t99 t107.xlsx,S2, Operator?,operator,C
After Dec11-2019 - t99 t107.xlsx,S1," Operator. It was green, remember? Operator. One over something, so the fraction thingy.",it was green remember,C
After Dec11-2019 - t99 t107.xlsx,S1," One over x, oh we have to make another variable? Okay [crosstalk 00:01:04].",one over x oh we have to make another variable,C
After Dec11-2019 - t99 t107.xlsx,S2, Oh my gosh. Did I even spell that right? Did I?,did i even spell that right,C
After Dec11-2019 - t99 t107.xlsx,S2, Oh it has to be blank? I think this is.,oh it has to be blank,C
After Dec11-2019 - t99 t107.xlsx,S2, Over?,over,C
After Dec11-2019 - t99 t107.xlsx,S2, Can we just plug it in like that?,can we just plug it in like that,C
After Dec11-2019 - t99 t107.xlsx,S1," Gosh. Is that the camera? Oh, this is the camera, right?",is that the camera,C
After Dec11-2019 - t99 t107.xlsx,S2, Yeah. The heck are you doing?,the heck are you doing,O
After Dec11-2019 - t99 t107.xlsx,S2, Does the M have to be capital too?,does the m have to be capital too,C
After Dec11-2019 - t99 t107.xlsx,S2, Then a water level?,then a water level,C
After Dec11-2019 - t99 t107.xlsx,S1, Why do I have to do it? You're the leader.,why do i have to do it,O
After Dec11-2019 - t99 t107.xlsx,S2," You know there's no typing involved, right?",you know there s no typing involved right,C
After Dec11-2019 - t99 t107.xlsx,S1, How do you do that again?,how do you do that again,O
After Dec11-2019 - t99 t107.xlsx,S2, What?,what,C
After Dec11-2019 - t99 t107.xlsx,S2," So, is this supposed to be running?",so is this supposed to be running,C
After Dec11-2019 - t99 t107.xlsx,S2," Wait, this was already given to us? No, wait, wait, wait. No way.",wait this was already given to us,C
After Dec11-2019 - t99 t107.xlsx,S2," And then, okay, so this is all right. But, what about the other one, Is it in running? Yeah. Okay. Okay. And then we go to message.",but what about the other one is it in running,C
After Dec11-2019 - t99 t107.xlsx,S1, So we're doing this in message? We have to redo this?,so we re doing this in message,C
After Dec11-2019 - t99 t107.xlsx,S2, Like last time?,like last time,C
After Dec11-2019 - t99 t107.xlsx,S2, Are you sure about that?,are you sure about that,C
After Dec11-2019 - t99 t107.xlsx,S2, But why did she stop running?,but why did she stop running,O
After Dec11-2019 - t99 t107.xlsx,S1, Did we kill it now?,did we kill it now,C
After Dec11-2019 - t99 t107.xlsx,S2," Yeah, why did she stop running?",yeah why did she stop running,O
After Dec11-2019 - t99 t107.xlsx,S1, Was she running before?,was she running before,C
After Dec11-2019 - t99 t107.xlsx,S2," Yeah, actually was she? Yeah, I think she was.",yeah actually was she,C
After Dec11-2019 - t99 t107.xlsx,S1, Exercise level is... What?,what,C
After Dec11-2019 - t99 t107.xlsx,S2, But I thought she was running before. What did we do?,what did we do,O
After Dec11-2019 - t99 t107.xlsx,S1," Wait, wait, wait. Let's... Okay, the water level should increase by [inaudible 00:06:04]. Did we?",did we,C
After Dec11-2019 - t99 t107.xlsx,S1, Is that what we're supposed to do? There you go! I've made it back working again.,is that what we re supposed to do,C
After Dec11-2019 - t99 t107.xlsx,S2," Oh. Oh, how did you do it?",oh how did you do it,O
After Dec11-2019 - t99 t107.xlsx,S1, What?,what,C
After Dec11-2019 - t99 t107.xlsx,S2, But why is it at one?,but why is it at one,O
After Dec11-2019 - t99 t107.xlsx,S1," Okay, okay. So it should be like this?",so it should be like this,O
After Dec11-2019 - t99 t107.xlsx,S1," Wait, wait. Okay, so then we need an operator, right?",okay so then we need an operator right,C
After Dec11-2019 - t99 t107.xlsx,S2," Oh, maybe?",oh maybe,O
After Dec11-2019 - t99 t107.xlsx,S2, Why did it go so fast?,why did it go so fast,O
After Dec11-2019 - t99 t107.xlsx,S1," I don't know, why did it just suddenly stop?",i don t know why did it just suddenly stop,O
After Dec11-2019 - t99 t107.xlsx,S1, Our exercise... Wait what can't move?,wait what can t move,C
After Dec11-2019 - t99 t107.xlsx,S1," Oh the exercise level has to be really high, right?",oh the exercise level has to be really high right,C
After Dec11-2019 - t99 t107.xlsx,S2," Yeah, I think. Or no, or the water level is right? I don't know actually.",or no or the water level is right,C
After Dec11-2019 - t99 t107.xlsx,S2, Did it move?,did it move,C
After Dec11-2019 - t99 t107.xlsx,S2, I think there's something so you can replenish the water?,i think there s something so you can replenish the water,C
After Dec11-2019 - t99 t107.xlsx,S1," Okay, wait a minute. How did... What's the water level?",what s the water level,C
After Dec11-2019 - t99 t107.xlsx,S1, How does theirs working so well? And ours is just?,how does theirs working so well,O
After Dec11-2019 - t99 t107.xlsx,S1, We do?,we do,C
After Dec11-2019 - t99 t107.xlsx,S1," No, no, we only need one, right? Where did... Oh, put this water image. I download water to-",no no we only need one right,C
After Dec11-2019 - t99 t107.xlsx,S1, Oh good job. What's a ghost effect? That's so cool.,what s a ghost effect,C
After Dec11-2019 - t99 t107.xlsx,S2, Okay. Now what?,now what,C
After Dec11-2019 - t99 t107.xlsx,S2," Wait, see, there has to be a water level. Okay, wait. What?",what,C
After Dec11-2019 - t99 t107.xlsx,S1," Okay, how do we make it under 50? What?",okay how do we make it under fifty,O
After Dec11-2019 - t99 t107.xlsx,S2," Maybe they're trying to stop helpless. Wait, can I see something?",wait can i see something,C
After Dec11-2019 - t99 t107.xlsx,S2," But how do you make that? Wait, it's always zero.",but how do you make that,O
